"Codigo da obra";"Titulo Original";"Titulo no Brasil";"Ano de produc?o";"Diretor";"Raz?o Social do Requerente";"CNPJ Requerente";"Data de liberac?o p exibic?o"
"253869";"CHOCOLATE & PORN # 3";"CHOCOLATE & PORN # 3";"2004";"PAULO SERGIO DOMINGUES";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"08-MAR-10"
"725097";"NÃO PARE NA PISTA: A MELHOR HISTÓRIA DE PAULO COELHO";"NÃO PARE NA PISTA: A MELHOR HISTÓRIA DE PAULO COELHO";"2013";"DANIEL SAMPAIO AUGUSTO";"CUATRO DAMAS FILMES LTDA.";"10.645.237/0001-83";"13-JUN-14"
"711806";"MATARAM MEU IRMÃO";"MATARAM MEU IRMÃO";"2013";"CRISTIANO BURLAN DA SILVA";"BELA FILMES PRODUÇÕES LTDA ME";"13.359.654/0001-58";"20-APR-15"
"15001190";"THE GRAND BUDAPEST HOTEL";"GRANDE HOTEL BUDAPESTE, O";"2014";"WES ANDERSON";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"26-MAY-14"
"16002283";"JUSTIN BIEBER- BELIEVE";"JUSTIN BIEBER- BELIEVE";"2013";"JON M CHU";"DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.";"17.095.184/0001-13";"12-MAY-14"
"14025962";"A MILLION WAYS TO DIE IN THE WEST";"MILHÃO DE MANEIRAS DE PEGAR NA PISTOLA, UM";"2014";"SETH MACFARLANE";"H2O INTERNACIONAL DISTRIBUIDORA DE FILMES LTDA";"18.351.980/0001-32";"18-AUG-14"
"14024";"QUAL É?";"QUAL É?";"2003";"JOHNNY ARAÚJO";"JULIO XAVIER CINEMATOGRÁFICA LTDA. EPP";"74.233.115/0001-62";"04-JUL-03"
"28935";"TESTE ANAL";"TESTE ANAL";"2006";"M. MAX";"FALLMS DISTRIBUIÇÃO DE FITAS LTDA";"02.341.697/0001-90";"20-APR-07"
"15006830";"THE TUXEDO";"O TERNO DE DOIS BILHÕES DE DÓLARES";"2002";"KEVIN DONOVAN";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"16-DEC-02"
"7598";"SEXO POR COMPASION / LAS ALAS DEL CORAZON";"SEXO POR COMPAIXAO";"1999";"LAURA MANA";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"20-DEC-02"
